20230501	16:08:53	44759d8d-1e7e-409e-a876-6c1e031dbf47	GET	undefined	/states/ks
20230501	16:12:11	9d4bb09f-6803-424e-926a-6c182940c7c0	GET	undefined	/states/ks
20230501	16:16:28	4a6419d9-050b-4a5a-9bf8-0eb8f10abed8	GET	undefined	/states/ks
20230501	16:16:39	07d809b3-6f4a-48e8-b581-fdaba4760571	GET	undefined	/states/ks
20230501	16:16:55	e061efe9-f5ee-406f-bdf9-74c1b7e32b03	GET	undefined	/states/hi
20230501	16:17:11	93bcfc10-a752-4711-a00c-b8291a196032	GET	undefined	/states/hi
20230501	16:18:40	81d25453-1980-4419-8827-78d1e040870d	GET	undefined	/states/hi
20230501	16:18:47	5e6e002f-5274-42d2-873a-1c389489ec0b	GET	undefined	/states/hawaii
20230501	16:27:15	84532f3a-592c-4aa9-bd30-a9edd63c6899	GET	undefined	/states/hi
20230501	16:27:29	76333070-cf0d-4ca1-b86c-5c0d5785c8b1	GET	undefined	/states/hi/funfact
20230501	16:27:29	bc2a2aa3-c59e-4a8f-9c89-7e319aa97aa6	GET	undefined	/states/hi/css/style.css
20230501	16:28:22	6e4b7581-8613-47a7-8cd9-2371b2c9670e	GET	undefined	/states/hi/funfact
20230501	16:28:22	97333abf-3f3b-4d4a-abda-1268dc6a073b	GET	undefined	/states/hi/css/style.css
20230501	16:30:22	54c7161d-6d8f-4e4a-8e60-67561200e185	GET	undefined	/states/hi/funfact
20230501	16:30:22	a744a2ba-f7d2-4828-b597-c44a3253ce16	GET	undefined	/states/hi/css/style.css
20230501	16:30:35	f4451b45-2cd0-4ab0-aea3-103f60743547	GET	undefined	/states/ks/funfact
20230501	16:36:48	d656ea01-eacd-4c77-b771-45f3eeb1e811	GET	undefined	/states/ks/funfact
20230501	16:40:41	71caa25f-f9bd-4ed9-b36d-f3e8220ba2a8	GET	undefined	/states/ks/funfact
